Comment,Designator,Footprint,LCSC Part #
0.5pF,C30,0402-REV,C258483
1n,C20,0402-REV,C307441
10K,R1 R3 R4,0402-REV,
10n,C18 C19,0402-REV,C3855387
10u,C2 C3 C4 C5 C6 C14,0402-REV,C15525
10u,C7 C8 C9 C10,0805,C2932476
10uH,L1,0805,C139245
15u,L2,0805,C486333
52MHz TCXO,Y2,OSC_TG2016SMN_50.0000M-ECGNNMB,C7503930
68K,R2,0402-REV,
100n,C1 C11 C12 C13 C21 C22 C23 C27 C28 C29 C25 C26,0402-REV,C527001
470n,C15 C17 C24,0402-REV,C106250
2450FM07D0034T,Y1,FIL_2450FM07D0034T,C2651081
ANT3216LL00R2400A,ANT1 ANT2,ANTENNA-CHIP2,C293767
AP63203WU,IC1,SOT95P280X110-6N,C780769
DRV8231DSGR,U3 U4,WSON8_DRV8231_TEX,C5139865
ESP32-PICO-D4,U1,PQFN50P700X700X104-49N,C193707
SK6812-EC20,LED1,SK6812-EC20,C2909058
SX1280IMLTRT,U2,QFN24_4X4_SEM,C125969
