Comment,Designator,Footprint,LCSC Part #
68K,R4,0402-RES,
1n,C1,0402-REV,
3V6 zener,D1,SOD-323,C306657
10K,R1 R2 R3,0402-REV,
10n,C3 C4,0402-REV,
10u,C11 C16 C18 C19 C20 C21,0805,C2932476
15u,L1,0805,C486333
X1G0054410320,Y1,OSC_TG2016SMN_50.0000M-ECGNNMB,C7503930
100n,C5 C6 C7 C8 C9 C10 C14 C15,0402-CAP,C1581
470n,C2 C13 C17,0402-REV,
2450FM07D0034T,FL1,FIL_2450FM07D0034T,C6054595
74889302450,ANT1 ANT2,ANTENNA-CHIP2,C6828492
DRV8231DSGR,U3 U4,WSON8_DRV8231_TEX,C5139865
ESP32-PICO-D4,U1,PQFN50P700X700X104-49N,C193707
SK6812-EC20,LED1,SK6812-EC20,C2909058
SX1280IMLTRT,U2,QFN24_4X4_SEM,C125969
DS8242-33A3L,IC1,SOT89,C5884130
