Comment,Designator,Footprint,LCSC Part #
schottky 40V,D1,SOD-323,C151511
1n,C21,0402,C307441
10uH,L1,0805,C139245
10K,R1 R3 R4,0402,
10nF,C19 C20,0402,C3855387
10uF 50V,C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C15,0805,C2932476
15uH,L2,0805,C486333
X1G0054410320,Y2,OSC_TG2016SMN_50.0000M-ECGNNMB,C7503930
68K,R2,0402,
100nF 50V,C1 C12 C13 C14 C22 C23 C24 C26 C27 C28 C29 C30,0402-CAP,C527001
0.5pF 50V,C31,0402-CAP,C258483
470nF,C16 C18 C25,0402,C106250
2450FM07D0034001T,Y1,FIL_2450FM07D0034T,C2651081
ANT3216LL00R2400A,ANT1 ANT2,ANTENNA-CHIP2,C293767
DRV8244HQRYJRQ1,U3 U4,RYJ0016A-MFG,C5699906
ESP32-PICO-D4,U1,PQFN50P700X700X104-49N,C193707
LMR16006YQ3DDCTQ1,IC1,SOT95P280X110-6N,C2071392
SK6812-EC20,LED1,SK6812-EC20,C2909058
SX1280IMLTRT,U2,QFN24_4X4_SEM,C125969
