Comment,Designator,Footprint,LCSC Part #
schottky 40V,D1,SOD-323,C151511
1n,C21,0402-REV,
3V6 zener,D2,SOD-323,C306657
10uH,L1,0805,C139245
10K,R1 R3 R4,0402-REV,
10nF,C3 C4,0402-REV,
10uF 50V,C11 C16 C18 C19 C20 C21 C22 C23 C24 C25 C27,0805,C2932476
15uH,L2,0805,C486333
X1G0054410320,Y2,OSC_TG2016SMN_50.0000M-ECGNNMB,C7503930
68K,R2,0402-REV,
100nF 50V,C1 C12 C13 C14 C22 C23 C24 C26 C27,0402-CAP,C1581
470nF,C16 C18 C25,0402-REV,
2450FM07D0034001T,Y1,FIL_2450FM07D0034T,C6054595
74889302450,ANT1 ANT2,ANTENNA-CHIP2,C6828492
DRV8244HQRYJRQ1,U3 U4,RYJ0016A-MFG,C5699906
ESP32-PICO-D4,U1,PQFN50P700X700X104-49N,C193707
LMR16006YQ3DDCTQ1,IC1,SOT95P280X110-6N,C2071392
SK6812-EC20,LED1,SK6812-EC20,C2909058
SX1280IMLTRT,U2,QFN24_4X4_SEM,C125969
