Designator,Mid X,Mid Y,Layer,Rotation
U2, 7.80, 9.00,Top,0.0
Y1, 3.80, 6.90,Top,90.0
ANT2,10.60,12.95,Top,90.0
C1, 3.80, 8.75,Top,0.0
C2,12.10, 4.70,Top,180.0
C3, 4.50,11.60,Top,270.0
C4, 3.20,11.60,Top,270.0
C5,12.60, 7.20,Top,90.0
C6, 9.00, 5.60,Top,180.0
C7, 3.80, 5.00,Top,180.0
C11, 7.30, 3.00,Top,180.0
D1,10.20, 1.65,Top,180.0
FL1, 7.55,12.60,Top,90.0
L1,11.20, 7.00,Top,90.0
LED1, 2.50, 2.50,Top,90.0
C13,13.30,11.00,Bottom,90.0
C17,12.35, 2.65,Bottom,180.0
C8, 6.40,11.20,Bottom,180.0
C9,11.80, 6.60,Bottom,270.0
C10, 3.70,11.70,Bottom,90.0
R1, 9.90,12.00,Bottom,180.0
R2,12.35, 1.51,Bottom,0.0
R3, 9.70, 1.40,Bottom,0.0
U1, 7.30, 7.00,Bottom,270.0
ANT1, 6.20,12.95,Bottom,270.0
