Designator,Mid X,Mid Y,Layer,Rotation
ANT1, 9.00,18.95,Bottom,90.0
ANT2,13.40,18.95,Top,90.0
C1,10.20, 5.30,Bottom,270.0
C2,16.12, 4.90,Bottom,180.0
C3,12.60, 7.00,Bottom,0.0
C4, 5.50, 4.80,Top,270.0
C5, 3.60, 5.30,Top,270.0
C6, 3.50, 5.30,Bottom,270.0
C7, 5.50, 4.80,Bottom,270.0
C8, 7.40, 4.80,Top,270.0
C9, 9.30, 4.80,Top,270.0
C10,11.20, 4.80,Top,270.0
C11,13.10, 4.80,Top,270.0
C12, 6.50,17.70,Bottom,90.0
C13, 9.20,17.20,Bottom,180.0
C14,14.28,13.18,Bottom,90.0
C15, 5.40,14.70,Bottom,0.0
C16, 5.90, 9.60,Bottom,270.0
C17,12.60, 8.30,Bottom,180.0
C18,10.10, 9.00,Top,180.0
C19, 6.00,17.60,Top,270.0
C20, 7.30,17.60,Top,270.0
C21, 6.60,14.75,Top,0.0
C22,16.10,17.00,Bottom,90.0
C23, 4.80,14.10,Top,270.0
C24, 6.10,19.20,Bottom,180.0
C25,11.80,11.60,Top,180.0
C26,15.90,13.30,Top,90.0
C27,14.80,10.70,Top,180.0
C28, 6.60,10.70,Top,180.0
C29,15.25, 8.85,Bottom,180.0
D1,12.50, 3.80,Bottom,180.0
D2, 1.60, 4.60,Bottom,270.0
IC1, 8.10, 4.50,Bottom,90.0
L1,12.20, 5.50,Bottom,180.0
L2,14.00,13.00,Top,90.0
LED1, 5.30, 8.50,Top,90.0
R1,12.60,17.70,Bottom,180.0
R2,15.30, 6.30,Top,180.0
R3,15.25, 6.60,Bottom,180.0
R4,15.25, 7.71,Bottom,0.0
U1,10.60,15.00,Top,270.0
U2,10.10,13.00,Bottom,180.0
Y1,10.35,18.60,Top,90.0
Y2, 6.60,12.90,Top,0.0
